Headline,Primary,Secondary,Date,Day,Month,Year,Sentiment,SentimentPolarity,Emotion,Url
 Expect more developmental projects in 2022 says Gov Abiodun ,Education,Environment,1-1-22,1,1,2022,Positive,0.5,0,https://punchng.com/expect-more-developmental-projects-in-2022-says-gov-abiodun/
 COVID-19: Liverpool's Klopp to miss Chelsea clash ,Youth Development,Sports,1-1-22,1,1,2022,Neutral,0.0,anger,https://punchng.com/chelsea-vs-liverpool-klopp-to-miss-chelsea-vs-liverpool/
 Arsenal vs Man City:  Rodri scores winner as 10-man Gunners lose 2-1 ,Youth Development,Power,1-1-22,1,1,2022,Neutral,0.0,surprise,https://punchng.com/arsenal-vs-man-city-rodri-scores-winner-as-10-man-gunners-lose-2-1/
 2023: It'll be very difficult for God to forgive PDP if we fail to listen to Nigerians — Wike ,Youth Development,Information and Culture,1-1-22,1,1,2022,Negative,-0.6,fear,https://punchng.com/2023-itll-be-very-difficult-for-god-to-forgive-pdp-if-we-fail-to-listen-to-nigerians-wike/
 Fire guts section of Port Harcourt refinery on New Year's Day ,Environment,Power,1-1-22,1,1,2022,Positive,0.1,anticipation,https://punchng.com/breaking-fire-guts-section-of-port-harcourt-refinery-on-new-years-day/
 Native doctor allegedly rapes impregnates 15-year-old girl in Anambra ,Youth Development,Education,1-1-22,1,1,2022,Negative,-0.1,anticipation,https://punchng.com/native-doctor-allegedly-rapes-impregnates-15-year-old-girl-in-anambra/
 Dowen: Autopsy reveals ‘chemical intoxication’ caused Oromoni’s death ,Health,Crime,1-1-22,1,1,2022,Neutral,0.0,anger,https://punchng.com/dowen-autopsy-reveals-chemical-intoxication-caused-oromonis-death/
 New Year: Shun divisiveness Sanwo-Olu urges Lagosians ,Power,Education,1-1-22,1,1,2022,Positive,0.1,0,https://punchng.com/new-year-shun-divisiveness-sanwo-olu-urges-lagosians/
 Nigeria's insecurity can be fixed within 17 months unless... -Fayemi ,Information and Culture,Labor and Productivity,1-1-22,1,1,2022,Positive,0.1,fear,https://punchng.com/nigerias-insecurity-can-be-fixed-within-17-months-unless-fayemi/
 Abdulrazaq promises projects to reduce poverty in 2022 ,Education,Environment,1-1-22,1,1,2022,Neutral,0.0,anger,https://punchng.com/abdulrazaq-promises-projects-to-reduce-poverty-in-2022/
 New Year: I know your frustrations Diri tells Bayelsa residents ,Information and Culture,Youth Development,1-1-22,1,1,2022,Positive,0.1,0,https://punchng.com/new-year-i-know-your-frustrations-diri-tells-bayelsa-residents/
 Singer Harrysong denies fathering twins says ex-lover lied ,Youth Development,Politics,1-1-22,1,1,2022,Neutral,0.0,0,https://punchng.com/singer-harrysong-denies-fathering-twins-says-ex-lover-lied/
 Why some New Year prophecies fail – Anglican Bishop Asaju ,Youth Development,Power,1-1-22,1,1,2022,Negative,-0.2,0,https://punchng.com/why-some-new-year-prophecies-fail-anglican-bishop-asaju/
 Zamfara police rescue 21 abducted Islamiyya pupils ,Youth Development,Education,1-1-22,1,1,2022,Neutral,0.0,anticipation,https://punchng.com/zamfara-police-rescue-21-abducted-islamiyya-pupils/
 Zulum promises more support to security forces in New Year ,Power,Education,1-1-22,1,1,2022,Positive,0.3,0,https://punchng.com/zulum-promises-more-support-to-security-forces-in-new-year/
 2500 clerics offer special prayers in Kano for Tinubu's presidential ambition ,Education,Power,1-1-22,1,1,2022,Positive,0.4,anticipation,https://punchng.com/2500-clerics-offer-special-prayers-in-kano-for-tinubus-presidential-ambition/
 2022: Akeredolu pardons 10 prisoners in Ondo ,Justice,Politics,1-1-22,1,1,2022,Neutral,0.0,0,https://punchng.com/2022-akeredolu-pardons-10-prisoners-in-ondo/
 I learnt kidnapping from watching Zubby Michael's movies - Suspect ,Youth Development,Crime,1-1-22,1,1,2022,Neutral,0.0,0,https://punchng.com/i-learnt-kidnapping-from-watching-zubby-michaels-movies-suspect/
 Gbajabiamila welcomes first baby of the year in Lagos ,Youth Development,Environment,1-1-22,1,1,2022,Positive,0.2,joy,https://punchng.com/gbajabiamila-welcomes-first-baby-of-the-year-in-lagos/
 It feels like a dream says Liquorose as she gifts self new car ,Youth Development,Power,1-1-22,1,1,2022,Positive,0.1,0,https://punchng.com/it-feels-like-a-dream-says-liquorose-as-she-gifts-self-new-car/
 Mercy Aigbe Nengi other celebrities born on New Year's Day ,Youth Development,Sports,1-1-22,1,1,2022,Neutral,0.0,0,https://punchng.com/mercy-aigbe-nengi-other-celebrities-born-on-new-years-day/
 Soot: Wike reads riot act orders shut down of illegal refineries in Rivers ,Power,Crime,1-1-22,1,1,2022,Negative,-0.3,anger,https://punchng.com/soot-wike-reads-riot-act-orders-shut-down-of-illegal-refineries-in-rivers/
 New Year stampede at Indian shrine kills 12 ,Youth Development,Sports,1-1-22,1,1,2022,Positive,0.1,0,https://punchng.com/new-year-stampede-at-indian-shrine-kills-12/
 Ogun fixes new resumption date for schools ,Education,Legislative,1-1-22,1,1,2022,Positive,0.1,anticipation,https://punchng.com/ogun-fixes-new-resumption-date-for-schools/
 Osun lawmakers seek Adeboye’s help to end Aregbesola Oyetola feud ,Education,Power,1-1-22,1,1,2022,Neutral,0.0,anticipation,https://punchng.com/osun-lawmakers-seek-adeboyes-help-to-end-aregbesola-oyetola-feud/
 How I prepared for death after being diagnosed with incurable disease - Actress Kemi Afolabi ,Health,Youth Development,1-1-22,1,1,2022,Negative,-0.5,anger,https://punchng.com/how-i-prepared-for-death-after-being-diagnosed-with-incurable-disease-actress-kemi-afolabi/
 COVID-19: Liverpool's Klopp to miss Chelsea clash ,Sports,Youth Development,1-1-22,1,1,2022,Neutral,0.0,anger,https://punchng.com/chelsea-vs-liverpool-klopp-to-miss-chelsea-vs-liverpool/
 New Year: Four dead many injured in two auto crashes in Ebonyi ,Health,Sports,1-1-22,1,1,2022,Positive,0.1,fear,https://punchng.com/new-year-four-dead-many-injured-in-two-auto-crashes-in-ebonyi/
 South Africa holds state funeral for Desmond Tutu ,Education,Youth Development,1-1-22,1,1,2022,Neutral,0.0,sadness,https://punchng.com/south-africa-holds-state-funeral-for-desmond-tutu/
 Gambia cancel AFCON prep games as COVID-19 hits squad ,Education,Sports,1-1-22,1,1,2022,Neutral,0.0,sadness,https://punchng.com/gambia-cancel-afcon-prep-games-as-covid-19-hits-squad/
 Watford vs Tottenham: Spurs break Watford's resistance to win 1-0 ,Sports,Power,1-1-22,1,1,2022,Positive,0.8,surprise,https://punchng.com/watford-vs-tottenham-spurs-break-watfords-resistance-to-win-1-0/
 Expect more developmental projects in 2022 says Gov Abiodun ,Environment,Education,1-1-22,1,1,2022,Positive,0.5,0,https://punchng.com/expect-more-developmental-projects-in-2022-says-gov-abiodun/
 Seven killed as bandits attack three Kaduna LGs ,Crime,Defense,2-1-22,2,1,2022,Negative,-0.2,anger,https://punchng.com/seven-killed-as-bandits-attack-three-kaduna-lgs/
 NUJ kicks as security operatives arrest Abuja journalist ,Education,Politics,2-1-22,2,1,2022,Negative,-0.1,sadness,https://punchng.com/nuj-kicks-as-security-operatives-arrest-abuja-journalist/
 Crowd as Olubadan of Ibadan is buried ,Sports,Education,2-1-22,2,1,2022,Neutral,0.0,fear,https://punchng.com/just-in-crowd-as-olubadan-of-ibadan-is-buried/
 Kidnapped Delta prophet Enejeta regains freedom ,Power,Education,2-1-22,2,1,2022,Neutral,0.0,anticipation,https://punchng.com/kidnapped-delta-prophet-enejeta-regains-freedom/
 Olubadan of Ibadan was a compassionate leader Buhari mourns ,Education,Youth Development,2-1-22,2,1,2022,Neutral,0.0,anticipation,https://punchng.com/olubadan-of-ibadan-was-a-compassionate-leader-buhari-mourns/
 Family friends well-wishers besiege home of Olubadan-in-waiting ,Youth Development,Health,2-1-22,2,1,2022,Neutral,0.0,0,https://punchng.com/family-friends-well-wishers-besiege-home-of-olubadan-in-waiting/
 New moon: Sultan directs Muslims to look out for Jumada al-Thani 1443AH ,Youth Development,Information and Culture,2-1-22,2,1,2022,Positive,0.1,0,https://punchng.com/new-moon-sultan-directs-muslims-to-look-out-for-jumada-al-thani-1443ah/
 Dead voters: Nigeria doesn't have accurate death register -Yiaga Africa ,Youth Development,Politics,2-1-22,2,1,2022,Positive,0.1,anticipation,https://punchng.com/dead-voters-nigeria-doesnt-have-accurate-death-register-yiaga-africa/
 'Tough way to start the year' Ooni Alaafin mourn Olubadan ,Youth Development,Environment,2-1-22,2,1,2022,Negative,-0.4,anticipation,https://punchng.com/tough-way-to-start-the-year-ooni-alaafin-mourn-olubadan/
 Real Madrid lose to Getafe suffer first defeat in three months ,Youth Development,Power,2-1-22,2,1,2022,Positive,0.2,sadness,https://punchng.com/real-madrid-lose-to-getafe-suffer-first-defeat-in-three-months/
 Mbappe not affected by uncertain future says Pochettino ,Health,Environment,2-1-22,2,1,2022,Neutral,0.0,anger,https://punchng.com/mbappe-not-affected-by-uncertain-future-says-pochettino/
 Yoruba Nation: Crisis rocks Sunday Igboho's legal team as Olajengbesi resigns ,Politics,Legal,2-1-22,2,1,2022,Positive,0.2,trust,https://punchng.com/yoruba-nation-crisis-rocks-sunday-igbohos-legal-team-as-olajengbesi-resigns/
 Enough of killings violence in Imo Obi of Onitsha others warn politicians ,Politics,Crime,2-1-22,2,1,2022,Neutral,0.0,fear,https://punchng.com/enough-of-killings-violence-in-imo-obi-of-onitsha-others-warn-politicians/
 How Yoruba Nation agitators plan to stop Osun Ekiti gov polls -Ilana Oodua ,Politics,Education,2-1-22,2,1,2022,Neutral,0.0,anticipation,https://punchng.com/how-yoruba-nation-agitators-plan-to-stop-osun-ekiti-gov-polls-ilana-oodua/
 Olubadan of Ibadan was a valuable asset to Yoruba race Akeredolu mourns ,Education,Sports,2-1-22,2,1,2022,Neutral,0.0,anticipation,https://punchng.com/olubadan-of-ibadan-was-a-valuable-asset-to-yoruba-race-akeredolu-mourns/
 Bola Ige’s other unsolved murders ,Crime,Justice,2-1-22,2,1,2022,Negative,-0.1,0,https://punchng.com/bola-iges-other-unsolved-murders/
 Singer Portable abandoned me after I got pregnant for him says lady ,Youth Development,Health,2-1-22,2,1,2022,Positive,0.3,anger,https://punchng.com/singer-portable-abandoned-me-after-i-got-pregnant-for-him-says-lady/
 Police boss orders arrest of Lagos estate security guards for 'delaying' him ,Crime,Education,2-1-22,2,1,2022,Negative,-0.1,sadness,https://punchng.com/police-boss-orders-arrest-of-lagos-estate-security-guards-for-delaying-him/
 Why we tell Port Harcourt residents to mask up against soot not just COVID-19 –Health experts ,Health,Education,2-1-22,2,1,2022,Neutral,0.0,disgust,https://punchng.com/why-we-tell-port-harcourt-residents-to-mask-up-against-soot-not-just-covid-19-health-experts/
 Lawmaker offers free medical services to 650 Nasarawa constituents ,Education,Health,2-1-22,2,1,2022,Positive,0.2,anticipation,https://punchng.com/lawmaker-offers-free-medical-services-to-650-nasarawa-constituents/
 Turn over a new leaf Marwa warns drug barons in New Year message ,Power,Information and Culture,2-1-22,2,1,2022,Positive,0.1,0,https://punchng.com/turn-over-a-new-leaf-marwa-warns-drug-barons-in-new-year-message/
 AFCON: Uzoho Onyekuru nine others in Eagles camp ,Sports,Youth Development,2-1-22,2,1,2022,Neutral,0.0,0,https://punchng.com/afcon-uzoho-onyekuru-nine-others-in-eagles-camp/
 ASUU dismisses FG’s N52.5bn says strike likely soon ,Information and Culture,Youth Development,2-1-22,2,1,2022,Neutral,0.0,anger,https://punchng.com/asuu-dismisses-fgs-n52-5bn-says-strike-likely-soon/
 Analysts predict loss for Usman in 2022 ,Information and Culture,Power,2-1-22,2,1,2022,Neutral,0.0,anticipation,https://punchng.com/analysts-predict-loss-for-usman-in-2022/
 Rights groups urge monitoring canvass $10m fund utilisation to tackle sexual violence ,Education,Health,2-1-22,2,1,2022,Positive,0.5,anger,https://punchng.com/rights-groups-urge-monitoring-canvass-10m-fund-utilisation-to-tackle-sexual-violence/
 Muslims celebrating Gregorian New Year not bad – Ere Asalatu ,Youth Development,Health,2-1-22,2,1,2022,Positive,0.2,anticipation,https://punchng.com/muslims-celebrating-gregorian-new-year-not-bad-ere-asalatu/
 Some filmmakers select actors based on Instagram followers – Jude Orhorha ,Youth Development,Sports,2-1-22,2,1,2022,Neutral,0.0,0,https://punchng.com/some-filmmakers-select-actors-based-on-instagram-followers-jude-orhorha/
 Seven killed as bandits attack three Kaduna LGs ,Defense,Crime,2-1-22,2,1,2022,Negative,-0.2,anger,https://punchng.com/seven-killed-as-bandits-attack-three-kaduna-lgs/
 AFCON 2021: 11 players now in Super Eagles’ camp ,Power,Sports,2-1-22,2,1,2022,Positive,0.3,0,https://punchng.com/afcon-2021-11-players-now-in-super-eagles-camp/
 NUJ kicks as security operatives arrest Abuja journalist ,Politics,Education,2-1-22,2,1,2022,Negative,-0.1,sadness,https://punchng.com/nuj-kicks-as-security-operatives-arrest-abuja-journalist/
 Being a firstborn shaped me into a leader that I’ve become –Funmilayo Omo ,Education,Youth Development,2-1-22,2,1,2022,Neutral,0.0,anticipation,https://punchng.com/being-a-firstborn-shaped-me-into-a-leader-that-ive-become-funmilayo-omo/
 EPL: Chelsea fight back to draw Liverpool ,Defense,Youth Development,2-1-22,2,1,2022,Neutral,0.0,anger,https://punchng.com/epl-chelsea-fight-back-to-draw-liverpool/
 Tofa was committed to peaceful Nigeria Anyim mourns ,Crime,Youth Development,3-1-22,3,1,2022,Positive,0.2,anticipation,https://punchng.com/tofa-was-committed-to-peaceful-nigeria-anyim-mourns/
 Man United vs Wolves: Rangnick suffers first defeat as United coach ,Youth Development,Power,3-1-22,3,1,2022,Negative,-0.2,sadness,https://punchng.com/man-united-vs-wolves-rangnick-suffers-first-defeat-as-united-coach/
 Plateau killings: Lalong orders arrest of perpetrators condemns incident ,Crime,Education,3-1-22,3,1,2022,Negative,-0.1,sadness,https://punchng.com/plateau-killings-lalong-orders-arrest-of-perpetrators-condemns-incident/
 Suspected herdsmen in military uniform sack Edo community ,Education,Administrative,3-1-22,3,1,2022,Negative,-0.1,fear,https://punchng.com/suspected-herdsmen-in-military-uniform-sack-edo-community/
 2023: Tinubu best candidate for presidency -Group ,Politics,Education,3-1-22,3,1,2022,Positive,1.0,anticipation,https://punchng.com/2023-tinubu-best-candidate-for-presidency-group/
 Abiodun Amosun commiserate with Makinde over Olubadan's death ,Crime,Health,3-1-22,3,1,2022,Neutral,0.0,anger,https://punchng.com/abiodun-amosun-commiserate-with-makinde-over-olubadans-death/
 Bashir Tofa defended northern dignity NEF mourns ,Health,Justice,3-1-22,3,1,2022,Neutral,0.0,anticipation,https://punchng.com/bashir-tofa-defended-northern-dignity-nef-mourns/
 IPOB 'bans' national anthem Fulani cows in South-East ,Power,Politics,3-1-22,3,1,2022,Neutral,0.0,0,https://punchng.com/ipob-bans-national-anthem-fulani-cows-in-south-east/
 Resign now to save Zamfara from imminent destruction PDP tells Gov Matawalle ,Power,Finance,3-1-22,3,1,2022,Neutral,0.0,joy,https://punchng.com/resign-now-to-save-zamfara-from-imminent-destruction-pdp-tells-gov-matawalle/
 Monaco appoint Philippe Clement as coach ,Sports,Youth Development,3-1-22,3,1,2022,Neutral,0.0,trust,https://punchng.com/monaco-appoint-philippe-clement-as-coach/
 Gunshot: It wasn't a kidnap attempt Teni clears air on Rivers event ,Crime,Power,3-1-22,3,1,2022,Neutral,0.0,anger,https://punchng.com/gunshot-it-wasnt-a-kidnap-attempt-teni-clears-air-on-rivers-event/
 Gombe APC suspends ex-Reps member Umaru Barambu ,Youth Development,Sports,3-1-22,3,1,2022,Neutral,0.0,0,https://punchng.com/gombe-apc-suspends-ex-reps-member-umaru-barambu/
 I was not arrested for violating Kenya's visa laws –EndSARS activist Moe Odele ,Education,Legal,3-1-22,3,1,2022,Neutral,0.0,0,https://punchng.com/i-was-not-arrested-for-violating-kenyas-visa-laws-endsars-activist-moe-odele/
 Private public schools to resume January 4 Lagos insists ,Education,Health,3-1-22,3,1,2022,Neutral,0.0,anticipation,https://punchng.com/private-public-schools-to-resume-january-4-lagos-insists/
 Edo to shut down charity homes operating as businesses ,Education,Environment,3-1-22,3,1,2022,Negative,-0.2,joy,https://punchng.com/edo-to-shut-down-charity-homes-operating-as-businesses/
 Six killed in suspected Al-Shabaab attack in Kenya ,Youth Development,Crime,3-1-22,3,1,2022,Negative,-0.2,anger,https://punchng.com/six-killed-in-suspected-al-shabaab-attack-in-kenya/
 ACF hails military onslaught against terrorists in Zamfara ,Education,Power,3-1-22,3,1,2022,Negative,-0.1,fear,https://punchng.com/acf-hails-military-onslaught-against-terrorists-in-zamfara/
 Avoid election distraction focus on good governance cleric tells Buhari ,Politics,Education,3-1-22,3,1,2022,Positive,0.7,anticipation,https://punchng.com/avoid-election-distraction-focus-on-good-governance-cleric-tells-buhari/
 SAN demands investigation into adjournment of Gwandu Emirate case ,Education,Crime,3-1-22,3,1,2022,Neutral,0.0,anticipation,https://punchng.com/san-demands-investigation-into-adjournment-of-gwandu-emirate-case/
 Full list: Nigeria invites Demehin 25 others for Falconets Cameroon clash ,Power,Youth Development,3-1-22,3,1,2022,Positive,0.3,anger,https://punchng.com/full-list-nigeria-invites-demehin-25-others-for-falconets-cameroon-clash/
 Two dead five injured in Akwa Ibom auto crash ,Sports,Health,3-1-22,3,1,2022,Negative,-0.2,fear,https://punchng.com/two-dead-five-injured-in-akwa-ibom-auto-crash/
 2023: Nigeria not mature for direct primaries says IPAC ,Education,Youth Development,3-1-22,3,1,2022,Neutral,0.0,0,https://punchng.com/2023-nigeria-not-mature-for-direct-primaries-says-ipac/
 PDP knocks APC over Bauchi memorial anniversary violence ,Education,Crime,3-1-22,3,1,2022,Neutral,0.0,anger,https://punchng.com/pdp-knocks-apc-over-bauchi-memorial-anniversary-violence/
 CNG postpones security summit to honour Tofa ,Health,Education,3-1-22,3,1,2022,Neutral,0.0,0,https://punchng.com/cng-postpones-security-summit-to-honour-tofa/
 2023: Governance not for idle bloggers Kaduna APC tackles Shehu Sani ,Politics,Education,3-1-22,3,1,2022,Neutral,0.0,0,https://punchng.com/2023-governance-not-for-idle-bloggers-kaduna-apc-tackles-shehu-sani/
 How oil dependence truncated Nigeria’s industrial development ,Power,Petroleum Resources,3-1-22,3,1,2022,Neutral,0.0,fear,https://punchng.com/how-oil-dependence-truncated-nigerias-industrial-development/
 Bashir Tofa: 10 things to know about MKO Abiola’s opponent who opposed June 12 as Democracy Day ,Politics,Youth Development,3-1-22,3,1,2022,Neutral,0.0,anger,https://punchng.com/bashir-tofa-10-things-to-know-about-mko-abiolas-opponent-who-opposed-june-12-as-democracy-day/
 Al-Ghais appointed OPEC Secretary General as Nigeria's Barkindo tenure ends July ,Power,Education,3-1-22,3,1,2022,Neutral,0.1,0,https://punchng.com/al-ghais-appointed-opec-secretary-general-as-nigerias-barkindo-tenure-ends/
 Olubadan left a lasting legacy Sanwo-Olu mourns ,Education,Power,3-1-22,3,1,2022,Neutral,0.0,0,https://punchng.com/olubadan-left-a-lasting-legacy-sanwo-olu-mourns/
 Tofa was committed to peaceful Nigeria Anyim mourns ,Youth Development,Crime,3-1-22,3,1,2022,Positive,0.2,anticipation,https://punchng.com/tofa-was-committed-to-peaceful-nigeria-anyim-mourns/
 Man United vs Wolves: Rangnick suffers first defeat as United coach ,Power,Youth Development,3-1-22,3,1,2022,Negative,-0.2,sadness,https://punchng.com/man-united-vs-wolves-rangnick-suffers-first-defeat-as-united-coach/
 Four killed as mob set Customs vehicles ablaze in Sokoto ,Crime,Power,3-1-22,3,1,2022,Negative,-0.2,anger,https://punchng.com/four-killed-as-mob-set-customs-vehicles-ablaze-in-sokoto/
 LASTMA denies assault of bus driver ,Transportation,Youth Development,4-1-22,4,1,2022,Neutral,0.0,anger,https://punchng.com/lastma-denies-assault-of-bus-driver/
 You're behind banditry Matawalle'll not resign APC replies PDP ,Information and Culture,Politics,4-1-22,4,1,2022,Negative,-0.4,anger,https://punchng.com/youre-behind-banditry-matawallell-not-resign-apc-replies-pdp/
 Everton sign Patterson from Rangers ,Youth Development,Sports,4-1-22,4,1,2022,Neutral,0.0,0,https://punchng.com/everton-sign-patterson-from-rangers/
 PSG goalkeeper Donnarumma tests positive for COVID-19 ,Youth Development,Sports,4-1-22,4,1,2022,Positive,0.2,0,https://punchng.com/psg-goalkeeper-donnarumma-tests-positive-for-covid-19/
 Oil price hits $79.7 per barrel as OPEC+ retains monthly output ,Power,Petroleum Resources,4-1-22,4,1,2022,Neutral,0.0,0,https://punchng.com/oil-price-hits-79-7-per-barrel-as-opec-retains-monthly-output/
 Kenyan woman sets self three children ablaze over husband’s 'infidelity' ,Youth Development,Education,4-1-22,4,1,2022,Neutral,0.0,0,https://punchng.com/kenyan-woman-sets-self-three-children-ablaze-over-husbands-infidelity/
 President First Lady of Mozambique test positive for COVID-19 ,Youth Development,Information and Culture,4-1-22,4,1,2022,Positive,0.2,0,https://punchng.com/president-first-lady-of-mozambique-test-positive-for-covid-19/
